title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
U.S. investors are pouring money into European stock funds,U.S. investors have stepped up their purchases of European stocks — even as performance this year has been neck-and-neck with what they can get domestically.,2021-05-27 13:59:00+00:00,http://www.marketwatch.com/news/story.asp?guid=%7B20C05575-04D4-B545-745A-13CEE8903117%7D&siteid=rss&rss=1,MarketWatch,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,217,"['BBEU', 'EZU', 'VGK', 'NEXI', 'STLA', 'AIR', 'BA']",BBEU,2021-05-27
5 ETFs That Saw Maximum Capital Inflows Last Week,"Overall ETFs gathered about $24.1 billion capital last week, bringing in year-to-date inflows of $393.5 billion, more than double the $137.9 billion seen in the year-ago period.",2021-06-01 16:00:00+00:00,http://www.zacks.com/stock/news/1639702/5-etfs-that-saw-maximum-capital-inflows-last-week?cid=CS-ZC-FT-etf_news_and_commentary-1639702,Zacks Investment Research,0.1,0.12666666666666665,neutral,0.1,False,False,False,False,False,False,False,False,0.0,228,"['SPY', 'QQQ', 'VOO', 'QUAL', 'BBEU']",BBEU,2021-06-01
Our Views On China's Policy Finetuning,China’s monetary policy loosening is unlikely to derail a focus on quality growth in the medium term. US CPI rose more than expected in June 2021 amid the restart dynamics.,2021-07-20 04:45:00+00:00,https://seekingalpha.com/article/4440008-our-views-on-china-policy-finetuning,Seeking Alpha,0.125,0.5875,positive,0.125,False,False,False,False,False,False,False,False,0.0,212,"['TLT', 'TBT', 'IEF', 'UUP', 'TIP', 'VGK', 'SHY', 'YINN', 'EDV', 'IEI', 'TDF', 'VTIP', 'TMV', 'TMF', 'GXC', 'SCHP', 'FEZ', 'VGLT', 'VGSH', 'UDN', 'YANG', 'IVOL', 'CXSE', 'TBF', 'HEDJ', 'BIL', 'SHV', 'GSY', 'SPTL', 'VGIT', 'EZU', 'PGJ', 'RINF', 'GOVT', 'KGRN', 'SCHO', 'TTT', 'ZROZ', 'STIP', 'IEV', 'IEUR', 'FXP', 'CHN', 'LTPZ', 'TLH', 'SPIP', 'CN', 'USDU', 'EURL', 'SCHR', 'PST', 'EPV', 'XPP', 'GBIL', 'CBON', 'SPTS', 'TYD', 'FLCH', 'UBT', 'PLW', 'TYO', 'YXI', 'SPEU', 'UST', 'FCA', 'TBX', 'SPTI', 'TIPZ', 'DBEU', 'STPZ', 'EEA', 'HEZU', 'TIPX', 'BBEU', 'EGF', 'FEP', 'TDTT', 'UPV', 'KESG', 'SCHQ', 'TDTF', 'CLTL', 'FIBR', 'FLEE', 'SGOV', 'USTB', 'GSEU', 'PTEU', 'FPXE', 'BBSA', 'OPER', 'RAYC', 'DBEZ', 'GOVZ', 'PBTP', 'FEUZ', 'TFJL', 'AWTM', 'RFEU', 'TBJL', 'FIEE', 'FEUL', 'BILS', 'FLGV', 'FATT', 'IBTK']",BBEU,2021-07-20
Taking Stock On China,"We see China’s regulatory crackdown likely to moderate, alongside a dovish shift in macro policy, for the near term. The Fed noted further progress in the economy as expected.",2021-08-03 04:30:00+00:00,https://seekingalpha.com/article/4444204-taking-stock-on-china,Seeking Alpha,0.0,0.6,neutral,0.0,False,False,True,False,False,False,False,False,0.0,198,"['SPY', 'QQQ', 'VOO', 'DIA', 'TQQQ', 'IWM', 'IVV', 'SQQQ', 'SH', 'VEA', 'USA', 'TNA', 'SPXL', 'SDS', 'VGK', 'TZA', 'JEPI', 'UPRO', 'RSP', 'CRF', 'SSO', 'SPXU', 'SPXS', 'GAB', 'EFA', 'YINN', 'UDOW', 'QLD', 'QQQM', 'TDF', 'SCHX', 'PSQ', 'SDOW', 'IEFA', 'GXC', 'QID', 'FEZ', 'VV', 'VTWO', 'DOG', 'YANG', 'DXD', 'CXSE', 'HEDJ', 'DDM', 'URTY', 'RWM', 'SRTY', 'PGJ', 'EZU', 'QQQE', 'UWM', 'KGRN', 'TWM', 'IEV', 'FXP', 'IEUR', 'CHN', 'EPS', 'URTH', 'SFY', 'CN', 'QQEW', 'EURL', 'SPSM', 'EPV', 'XPP', 'SPUU', 'SPDN', 'CBON', 'FLCH', 'IWL', 'ESGD', 'SPEU', 'DBEF', 'FCA', 'FEX', 'IDEV', 'ILCB', 'GSEW', 'DBEU', 'GSIE', 'EQL', 'EEA', 'HEFA', 'SPXT', 'HEZU', 'BBEU', 'EEH', 'QQXT', 'SPXE', 'BIBL', 'CHGX', 'USMC', 'RWL', 'EFZ', 'XVV', 'FEP', 'EDOW', 'EQWL', 'KESG', 'UPV', 'DMRL', 'DUSA', 'RODM', 'BAPR', 'OMFS', 'QQQA', 'JHML', 'KLDW', 'SPXN', 'BAUG', 'HUSV', 'SPXV', 'EFO', 'FDT', 'FLEE', 'BJUL', 'PAPR', 'BOCT', 'EFU', 'GSEU', 'HFXI', 'QMJ', 'BJUN', 'DFAC', 'IDHQ', 'IQIN', 'PTEU', 'PJAN', 'FPXE', 'RAYC', 'UOCT', 'EFAX', 'PJUN', 'SSPY', 'DBEZ', 'DEFA', 'DWMF', 'RFDI', 'UJAN', 'FEUZ', 'PAUG', 'RFEU', 'TRND', 'UAUG', 'FIEE', 'FEUL', 'PQIN', 'IJUL', 'JUSA']",BBEU,2021-08-03
Is First Trust STOXX European Select Dividend ETF (FDD) a Strong ETF Right Now?,Smart Beta ETF report for FDD,2021-08-23 10:20:02+00:00,https://www.zacks.com/stock/news/1785095/is-first-trust-stoxx-european-select-dividend-etf-fdd-a-strong-etf-right-now,Zacks Investment Research,0.23666666666666666,0.44904761904761903,positive,0.23666666666666666,False,False,False,False,False,True,False,False,0.0,110,"['FDD', 'VGK', 'BBEU']",BBEU,2021-08-23
Is First Trust STOXX European Select Dividend ETF (FDD) a Strong ETF Right Now?,Smart Beta ETF report for FDD,2021-09-21 10:20:02+00:00,https://www.zacks.com/stock/news/1798717/is-first-trust-stoxx-european-select-dividend-etf-fdd-a-strong-etf-right-now,Zacks Investment Research,0.23666666666666666,0.44904761904761903,positive,0.23666666666666666,False,False,False,False,False,True,False,False,0.0,110,"['FDD', 'VGK', 'BBEU']",BBEU,2021-09-21
Is First Trust STOXX European Select Dividend ETF (FDD) a Strong ETF Right Now?,Smart Beta ETF report for FDD,2021-10-13 10:20:07+00:00,https://www.zacks.com/stock/news/1809937/is-first-trust-stoxx-european-select-dividend-etf-fdd-a-strong-etf-right-now,Zacks Investment Research,0.23666666666666666,0.44904761904761903,positive,0.23666666666666666,False,False,False,False,False,True,False,False,0.0,110,"['FDD', 'VGK', 'BBEU']",BBEU,2021-10-13
Is WisdomTree Europe SmallCap Dividend ETF (DFE) a Strong ETF Right Now?,Smart Beta ETF report for DFE,2021-10-20 14:50:54+00:00,https://www.zacks.com/stock/news/1813316/is-wisdomtree-europe-smallcap-dividend-etf-dfe-a-strong-etf-right-now,Zacks Investment Research,0.31111111111111106,0.6373015873015873,positive,0.31111111111111106,False,False,False,False,False,True,False,False,0.0,103,"['DFE', 'TGS', 'VGK', 'BBEU']",BBEU,2021-10-20
Is WisdomTree Europe Hedged Equity ETF (HEDJ) a Strong ETF Right Now?,Smart Beta ETF report for HEDJ,2021-10-21 10:20:08+00:00,https://www.zacks.com/stock/news/1813875/is-wisdomtree-europe-hedged-equity-etf-hedj-a-strong-etf-right-now,Zacks Investment Research,0.31111111111111106,0.6373015873015873,positive,0.31111111111111106,False,False,False,False,False,False,False,False,0.0,101,"['HEDJ', 'ASML', 'LIN', 'VGK', 'BBEU']",BBEU,2021-10-21
Week Ahead - Between A Rock And A Hard Place,"The calm before the November 3rd Fed storm should have investors focus on the advance reading of third quarter GDP, mega-cap tech earnings, and President Biden’s economic package.",2021-10-23 04:30:00+00:00,https://seekingalpha.com/article/4461583-week-ahead-between-a-rock-and-a-hard-place,Seeking Alpha,0.04166666666666667,0.2983333333333333,neutral,0.04166666666666667,True,False,False,False,False,False,False,False,0.0,225,"['ACTV', 'AFMC', 'AFSM', 'AMER', 'ARKK', 'AVUV', 'BAPR', 'BAUG', 'BBMC', 'BBSC', 'BFOR', 'BFTR', 'BJUL', 'BJUN', 'BKMC', 'BKSE', 'BMAR', 'BMAY', 'BOCT', 'BOSS', 'BOUT', 'BUFF', 'BUL', 'CALF', 'CATH', 'CBSE', 'CSA', 'CSB', 'CSD', 'CSF', 'CSML', 'CWS', 'CZA', 'DDIV', 'DEEP', 'DES', 'DEUS', 'DFAS', 'DFAT', 'DGRS', 'DIA', 'DIV', 'DJD', 'DMRL', 'DMRM', 'DMRS', 'DON', 'DSPC', 'DVLU', 'DWAS', 'DWMC', 'EES', 'EFIV', 'EPS', 'EQAL', 'ESML', 'ETHO', 'EWMC', 'EWSC', 'EZM', 'FAB', 'FAD', 'FDM', 'FFTY', 'FLQM', 'FLQS', 'FNDA', 'FNK', 'FNX', 'FNY', 'FOVL', 'FRTY', 'FSMD', 'FTA', 'FYC', 'FYT', 'FYX', 'GBGR', 'GLRY', 'GSSC', 'HAIL', 'HIBL', 'HIBS', 'HLGE', 'HOMZ', 'HSMV', 'IJH', 'IJJ', 'IJK', 'IJR', 'IJS', 'IJT', 'IMCB', 'IMCG', 'IMCV', 'IPO', 'ISCB', 'ISCG', 'ISCV', 'ISMD', 'IUSS', 'IVDG', 'IVE', 'IVOG', 'IVOO', 'IVOV', 'IVV', 'IVW', 'IWC', 'IWM', 'IWN', 'IWO', 'IWP', 'IWR', 'IWS', 'IYY', 'JDIV', 'JHMM', 'JHSC', 'JPME', 'JPSE', 'JSMD', 'JSML', 'KAPR', 'KJAN', 'KJUL', 'KNG', 'KOMP', 'KSCD', 'LSAT', 'MDY', 'MDYG', 'MDYV', 'MFMS', 'MGMT', 'MID', 'MIDE', 'MIDF', 'NAPR', 'NIFE', 'NJAN', 'NOBL', 'NUMG', 'NUMV', 'NUSC', 'NVQ', 'OMFS', 'ONEO', 'ONEQ', 'ONEV', 'ONEY', 'OSCV', 'OUSM', 'OVS', 'PAMC', 'PAPR', 'PAUG', 'PBP', 'PBSM', 'PEXL', 'PEY', 'PJAN', 'PJUN', 'PLTL', 'PRFZ', 'PSC', 'PTMC', 'PUTW', 'PWC', 'PY', 'QDIV', 'QMOM', 'QQC', 'QQD', 'QQEW', 'QQQ', 'QQQA', 'QQQE', 'QQQJ', 'QQQM', 'QQQN', 'QQXT', 'QTEC', 'QVAL', 'QVML', 'QVMM', 'QVMS', 'QYLD', 'QYLG', 'REGL', 'RFG', 'RFV', 'RNMC', 'RNSC', 'ROSC', 'RPG', 'RPV', 'RSP', 'RWJ', 'RWK', 'RWL', 'RYJ', 'RYT', 'RZG', 'RZV', 'SCHA', 'SCHM', 'SDS', 'SDVY', 'SFYX', 'SH', 'SIXL', 'SIXS', 'SLY', 'SLYG', 'SLYV', 'SMCP', 'SMDV', 'SMDY', 'SMLE', 'SMLF', 'SMLV', 'SMMD', 'SMMV', 'SNPE', 'SPAK', 'SPAX', 'SPDN', 'SPDV', 'SPGP', 'SPHB', 'SPHD', 'SPHQ', 'SPLG', 'SPLV', 'SPMD', 'SPMO', 'SPMV', 'SPSM', 'SPUS', 'SPUU', 'SPVM', 'SPVU', 'SPXE', 'SPXL', 'SPXN', 'SPXS', 'SPXT', 'SPXU', 'SPXV', 'SPXZ', 'SPY', 'SPYD', 'SPYG', 'SPYV', 'SPYX', 'SQEW', 'SQLV', 'SSLY', 'SSO', 'SSPY', 'STLV', 'SVAL', 'SYLD', 'TMDV', 'TPHD', 'TPLC', 'TPSC', 'TUSA', 'UAUG', 'UJAN', 'UMAR', 'UMAY', 'UOCT', 'UPRO', 'USEQ', 'USLB', 'USMC', 'USMF', 'USVM', 'VB', 'VBK', 'VBR', 'VFLQ', 'VFMF', 'VFMO', 'VFMV', 'VFQY', 'VFVA', 'VIOG', 'VIOO', 'VIOV', 'VO', 'VOE', 'VOO', 'VOOG', 'VOOV', 'VOT', 'VRAI', 'VTWG', 'VTWO', 'VTWV', 'VUSE', 'VXF', 'VXX', 'VXZ', 'WBIY', 'WEBL', 'WEBS', 'WWOW', 'XJH', 'XJR', 'XLG', 'XMHQ', 'XMLV', 'XMMO', 'XMVM', 'XRLV', 'XSHD', 'XSHQ', 'XSLV', 'XSMO', 'XSVM', 'XVV', 'XYLD', 'XYLG', 'YPS', 'FSMO', 'EWU', 'FKU', 'EWUS', 'HEWU', 'FLGB', 'VGK', 'FEZ', 'IEV', 'EZU', 'DFE', 'FDD', 'FEP', 'SPEU', 'HEDJ', 'DBEU', 'EURZ', 'EUDG', 'IEUR', 'HEZU', 'FEUZ', 'DBEZ', 'IEUS', 'EUSC', 'OEUR', 'EUDV', 'PTEU', 'FIEE', 'GSEU', 'RFEU', 'FLEE', 'FLEH', 'BBEU', 'FEUL', 'FPXE', 'RSX', 'ERUS', 'RSXJ', 'FLRU', 'EZA', 'FLZA', 'TUR', 'CN', 'FXI', 'PGJ', 'EWH', 'EWT', 'GXC', 'FCA', 'KBA', 'CHB', 'CHIQ', 'CHII', 'CQQQ', 'CHIX', 'CHIE', 'CHIM', 'ECNS', 'MCHI', 'CXSE', 'KFYP', 'KWEB', 'ASHR', 'ASHS', 'CNXT', 'AFTY', 'ASHX', 'CNYA', 'KGRN', 'FLHK', 'FLCH', 'FLTW', 'KURE', 'KALL', 'CHNA', 'CHIC', 'CHIK', 'CHIH', 'CHIU', 'CHIS', 'CHIR', 'GLCN', 'KESG', 'KSTR', 'KFVG', 'KEJI', 'RAYC', 'KTEC', 'KBUY', 'FNI', 'EPI', 'PIN', 'INDY', 'INCO', 'INDA', 'SMIN', 'NFTY', 'FLIN', 'IXSE', 'GLIN', 'INDF', 'EWA', 'FLAU', 'ENZL', 'EWJ', 'DFJ', 'DXJ', 'SCJ', 'FJP', 'JPN', 'DBJP', 'DXJS', 'HEWJ', 'HJPX', 'JPXN', 'GSJY', 'FLJP', 'FLJH', 'BBJP', 'EWJE', 'EWJV', 'FXY', 'YCL', 'YCS', 'UUP', 'USDU']",BBEU,2021-10-23
